POSTURE,HIGH LEVEL BEHAVIOR,PA TYPE,Behavioral Parameters,Experimental situation
In_Position_Kneeling,Administering_Care_Child/Elder/Other_Adult,Applying_Makeup,Browsing_Computer,Free_Living
In_Position_Reclining/Slouching,Bathing_Pet,Bathing,CP_Other,Lab_Indoors
In_Position_Sitting,Cleaning,Blowdrying_Hair,CP_Too_Complex,ES_Video_Unavailable/Indecipherable
In_Position_Upright,Cooking/Prepping_Food,Brushing_Teeth,CP_Unlabeled,ES_Other
Lying_On_Back,Cycling_Regular_Bicycle,Brushing/Combing/Tying_Hair,CP_Video_Unavailable/Indecipherable,ES_Unlabeled
Lying_On_Left_Side,Dancing,Cycling_Active_Pedaling_Regular_Bicycle,Carrying_Bag_On_Shoulder/Back_Heavy,
Lying_On_Right_Side,Doing_Alternative_Exercise/Therapy/Stretching,Cycling_Active_Pedaling_Stationary_Bike,Carrying_Bag_On_Shoulder/Back_Light,
Lying_On_Stomach,Doing_Common_Housework_Light,Doing_Resistance_Training_Free_Weights,Carrying_Grocery_Bags_Heavy,
Posture_Video_Unavailable/Indecipherable,Doing_Common_Housework,Doing_Resistance_Training_Other,Carrying_Grocery_Bags_Light,
Posture_Other,Doing_Dishes,Dry_Mopping,Hand_In_Pocket,
Posture_Too_Complex,Doing_Home_Repair_Light,Dusting,Handwriting,
Posture_Unlabeled,Doing_Home_Repair,Flossing_Teeth,Holding_Bag/Briefcase_Hand_Heavy,
,Doing_Laundry,Folding_Clothes,Holding_Bag/Briefcase_Hand_Light,
,Doing_Martial_Arts,Ironing,Holding_Book/Reader,
,Doing_Resistance_Training,Kneeling_Still,Holding_Drink,
,Dressing/Undressing,Kneeling_With_Movement,Holding_Other_Object_Heavy,
,Eating/Dining,Loading/Unloading_Washing_Machine/Dryer,Holding_Other_Object_Light,
,Exercising_Gym_Other,Lying_Still,Holding_Solid_Food,
,Exercising_Gym_Stationary_Bicycle,Lying_With_Movement,In_Conversation,
,Exercising_Gym_Treadmill,Organizing_Shelf/Cabinet,Legs_Crossed,
,Flagged_Special_Circumstances,PA_Type_Other,Legs_Uncrossed,
,Gardening,PA_Type_Too_Complex,Located_Indoors,
,Grooming/Self_Care,PA_Type_Unlabeled,Located_Outdoors,
,HLB_Video_Unavailable/Indecipherable,PA_Type_Video_Unavailable/Indecipherable,On_Phone_Call,
,HLB_Other,Playing_Frisbee,On_Video_Call/FaceTime,
,HLB_Unlabeled,Puttering_Around,Significantly_Higher_Effort_Than_Normal,
,In_Bathroom,Putting_Clothes_Away,Significantly_Lower_Effort_Than_Normal,
,In_Transit_Active,Running_Non-Treadmill,Sync_Marker,
,In_Transit_Driving_Car,Running_Treadmill,Texting/Browsing_Phone,
,In_Transit_Passive_Car,Showering,Typing_Computer,
,In_Transit_Passive_Train/Bus/Plane,Shoveling_Mud/Snow,Using_Umbrella,
,Loading/Unloading_Vehicle,Sitting_Still,Unsure,
,Meeting_Social_Gathering_In_Person,Sitting_With_Movement,,
,Meeting_Formal_Gathering_In_Person,Standing_Still,,
,Meeting_Virtual,Standing_With_Movement,,
,Packing/Unpacking_Something,Sweeping,,
,Playing_Exergame,Synchronizing_Sensors,,
,Playing_Musical_Instrument,Vacuuming,,
,Playing_Sports/Games,Walking_Down_Stairs,,
,Playing_Videogame,Walking_Fast,,
,Playing_With_Children_Light,Walking_Slow,,
,Playing_With_Children_Moderate,Walking_Treadmill,,
,Playing_With_Pets,Walking_Up_Stairs,,
,Relaxing_Passive,Walking,,
,Riding_Elevator_Down,Washing_Face,,
,Riding_Elevator_Up,Washing_Hands,,
,Riding_Escalator_Down,Watering_Plants,,
,Riding_Escalator_Up,Wet_Mopping,,
,Skateboarding/Scootering_Manual,Sensor_Sync_Stand_Lab,,
,Skateboarding/Scootering_Electric,Sensor_Sync_Walk_Lab,,
,Shopping_Grocery,Lying_On_Back_Lab,,
,Shopping_Non-Grocery,Stationary_Biking_300_Lab,,
,Sleeping,Treadmill_2mph_Lab,,
,Using_Computer/Screen,Treadmill_3mph_Conversation_Lab,,
,Walking_Pet,Treadmill_3mph_Drink_Lab,,
,Watching_Lecture,Treadmill_3mph_Free_Walk_Lab,,
,Watching_TV/Movies,Treadmill_3mph_Briefcase_Lab,,
,Working_Other,Treadmill_3mph_Hands_Pockets_Lab,,
,,Treadmill_3mph_Phone_Lab,,
,,Treadmill_4mph_Lab,,
,,Treadmill_5.5mph_Lab,,
,,Stand_Shelf_Unload_Lab,,
,,Stand_Shelf_Load_Lab,,
,,Chopping_Food_Lab,,
,,Washing_Dishes_Lab,,
,,Lying_On_Left_Side_Lab,,
,,Lying_On_Stomach_Lab,,
,,Lying_On_Right_Side_Lab,,
,,Sit_Recline_Talk_Lab,,
,,Stand_Conversation_Lab,,
,,Sit_Recline_Web_Browse_Lab,,
,,Sit_Writing_Lab,,
,,Arm_Curls_Lab,,
,,Push_Up_Modified_Lab,,
,,Push_Up_Lab,,
,,Ab_Crunches_Lab,,
,,Machine_Leg_Press_Lab,,
,,Machine_Chest_Press_Lab,,
,,Sit_Typing_Lab,,
